region,year,artist,streams
Argentina,2017,Ozuna,107105891.0
Argentina,2017,Ed Sheeran,81184675.0
Argentina,2017,Maluma,79420614.0
Argentina,2017,Nicky Jam,64350505.0
Argentina,2017,Shakira,54252019.0
Argentina,2018,Paulo Londra,104153731.0
Argentina,2018,Ozuna,83584167.0
Argentina,2018,Maluma,68309967.0
Argentina,2018,Bad Bunny,65417249.0
Argentina,2018,Duki,54573767.0
Argentina,2019,Paulo Londra,224215917.0
Argentina,2019,WOS,91557486.0
Argentina,2019,Duki,78161246.0
Argentina,2019,Maluma,70109108.0
Argentina,2019,Bad Bunny,63281876.0
Argentina,2020,J Balvin,114299123.0
Argentina,2020,Camilo,102152375.0
Argentina,2020,Bad Bunny,100438316.0
Argentina,2020,Maluma,83412737.0
Argentina,2020,Rauw Alejandro,76521526.0
Argentina,2021,Rauw Alejandro,129957293.0
Argentina,2021,Maria Becerra,108096490.0
Argentina,2021,"TINI, Maria Becerra",68688945.0
Argentina,2021,Bad Bunny,67354580.0
Argentina,2021,Olivia Rodrigo,66283905.0
Australia,2017,Ed Sheeran,208559243.0
Australia,2017,Kendrick Lamar,75708556.0
Australia,2017,Drake,51564301.0
Australia,2017,Khalid,47864990.0
Australia,2017,"Calvin Harris, Funk Wav",44340930.0
Australia,2018,Post Malone,196029570.0
Australia,2018,Drake,155233575.0
Australia,2018,XXXTENTACION,143595650.0
Australia,2018,Ed Sheeran,112703900.0
Australia,2018,Khalid,94061720.0
Australia,2019,Billie Eilish,219218372.0
Australia,2019,Post Malone,196456393.0
Australia,2019,Ed Sheeran,170060906.0
Australia,2019,Ariana Grande,147200350.0
Australia,2019,Khalid,115533808.0
Australia,2020,Juice WRLD,125771098.0
Australia,2020,Harry Styles,105238769.0
Australia,2020,Billie Eilish,101292561.0
Australia,2020,Dua Lipa,99638671.0
Australia,2020,The Weeknd,98891500.0
Australia,2021,Olivia Rodrigo,207123491.0
Australia,2021,The Kid LAROI,142037365.0
Australia,2021,Ed Sheeran,135111706.0
Australia,2021,Doja Cat,115345909.0
Australia,2021,Justin Bieber,114825074.0
Austria,2017,Ed Sheeran,16212341.0
Austria,2017,Imagine Dragons,7281802.0
Austria,2017,RAF Camora,4054792.0
Austria,2017,Clean Bandit,3929931.0
Austria,2017,The Chainsmokers,3817687.0
Austria,2018,Capital Bra,15817232.0
Austria,2018,"Bonez MC, RAF Camora",12571665.0
Austria,2018,RAF Camora,10044341.0
Austria,2018,Post Malone,9406152.0
Austria,2018,Drake,7594381.0
Austria,2019,Capital Bra,23728326.0
Austria,2019,Billie Eilish,17195886.0
Austria,2019,MERO,13377857.0
Austria,2019,"Capital Bra, Samra",13143814.0
Austria,2019,Apache 207,12817449.0
Austria,2020,Apache 207,23047929.0
Austria,2020,Bonez MC,13706601.0
Austria,2020,Juice WRLD,11166673.0
Austria,2020,Pop Smoke,9966437.0
Austria,2020,The Weeknd,9591835.0
Austria,2021,Olivia Rodrigo,17638631.0
Austria,2021,Måneskin,13752652.0
Austria,2021,Lil Nas X,13604889.0
Austria,2021,Ed Sheeran,12035031.0
Austria,2021,The Kid LAROI,11483960.0
Belgium,2017,Ed Sheeran,31398441.0
Belgium,2017,Clean Bandit,9080988.0
Belgium,2017,Damso,9079995.0
Belgium,2017,Imagine Dragons,8364539.0
Belgium,2017,Boef,6654972.0
Belgium,2018,XXXTENTACION,21578605.0
Belgium,2018,Drake,19284669.0
