,region,year,artist,streams,latitude,longitude
0,Argentina,2017,Ozuna,107105891,-38.4161,-63.6167
1,Argentina,2017,Ed Sheeran,81184675,-38.4161,-63.6167
2,Argentina,2017,Maluma,79420614,-38.4161,-63.6167
3,Argentina,2017,Nicky Jam,64350505,-38.4161,-63.6167
4,Argentina,2017,Shakira,54252019,-38.4161,-63.6167
5,Argentina,2018,Paulo Londra,104153731,-38.4161,-63.6167
6,Argentina,2018,Ozuna,83584167,-38.4161,-63.6167
7,Argentina,2018,Maluma,68309967,-38.4161,-63.6167
8,Argentina,2018,Bad Bunny,65417249,-38.4161,-63.6167
9,Argentina,2018,Duki,54573767,-38.4161,-63.6167
10,Argentina,2019,Paulo Londra,224215917,-38.4161,-63.6167
11,Argentina,2019,WOS,91557486,-38.4161,-63.6167
12,Argentina,2019,Duki,78161246,-38.4161,-63.6167
13,Argentina,2019,Maluma,70109108,-38.4161,-63.6167
14,Argentina,2019,Bad Bunny,63281876,-38.4161,-63.6167
15,Argentina,2020,J Balvin,114299123,-38.4161,-63.6167
16,Argentina,2020,Camilo,102152375,-38.4161,-63.6167
17,Argentina,2020,Bad Bunny,100438316,-38.4161,-63.6167
18,Argentina,2020,Maluma,83412737,-38.4161,-63.6167
19,Argentina,2020,Rauw Alejandro,76521526,-38.4161,-63.6167
20,Argentina,2021,Rauw Alejandro,129957293,-38.4161,-63.6167
21,Argentina,2021,Maria Becerra,108096490,-38.4161,-63.6167
22,Argentina,2021,"TINI, Maria Becerra",68688945,-38.4161,-63.6167
23,Argentina,2021,Bad Bunny,67354580,-38.4161,-63.6167
24,Argentina,2021,Olivia Rodrigo,66283905,-38.4161,-63.6167
25,Australia,2017,Ed Sheeran,208559243,-25.2744,133.7751
26,Australia,2017,Kendrick Lamar,75708556,-25.2744,133.7751
27,Australia,2017,Drake,51564301,-25.2744,133.7751
28,Australia,2017,Khalid,47864990,-25.2744,133.7751
29,Australia,2017,"Calvin Harris, Funk Wav",44340930,-25.2744,133.7751
30,Australia,2018,Post Malone,196029570,-25.2744,133.7751
31,Australia,2018,Drake,155233575,-25.2744,133.7751
32,Australia,2018,XXXTENTACION,143595650,-25.2744,133.7751
33,Australia,2018,Ed Sheeran,112703900,-25.2744,133.7751
34,Australia,2018,Khalid,94061720,-25.2744,133.7751
35,Australia,2019,Billie Eilish,219218372,-25.2744,133.7751
36,Australia,2019,Post Malone,196456393,-25.2744,133.7751
37,Australia,2019,Ed Sheeran,170060906,-25.2744,133.7751
38,Australia,2019,Ariana Grande,147200350,-25.2744,133.7751
39,Australia,2019,Khalid,115533808,-25.2744,133.7751
40,Australia,2020,Juice WRLD,125771098,-25.2744,133.7751
41,Australia,2020,Harry Styles,105238769,-25.2744,133.7751
42,Australia,2020,Billie Eilish,101292561,-25.2744,133.7751
43,Australia,2020,Dua Lipa,99638671,-25.2744,133.7751
44,Australia,2020,The Weeknd,98891500,-25.2744,133.7751
45,Australia,2021,Olivia Rodrigo,207123491,-25.2744,133.7751
46,Australia,2021,The Kid LAROI,142037365,-25.2744,133.7751
47,Australia,2021,Ed Sheeran,135111706,-25.2744,133.7751
48,Australia,2021,Doja Cat,115345909,-25.2744,133.7751
49,Australia,2021,Justin Bieber,114825074,-25.2744,133.7751
50,Austria,2017,Ed Sheeran,16212341,47.5162,14.5501
51,Austria,2017,Imagine Dragons,7281802,47.5162,14.5501
52,Austria,2017,RAF Camora,4054792,47.5162,14.5501
53,Austria,2017,Clean Bandit,3929931,47.5162,14.5501
54,Austria,2017,The Chainsmokers,3817687,47.5162,14.5501
55,Austria,2018,Capital Bra,15817232,47.5162,14.5501
56,Austria,2018,"Bonez MC, RAF Camora",12571665,47.5162,14.5501
57,Austria,2018,RAF Camora,10044341,47.5162,14.5501
58,Austria,2018,Post Malone,9406152,47.5162,14.5501
59,Austria,2018,Drake,7594381,47.5162,14.5501
60,Austria,2019,Capital Bra,23728326,47.5162,14.5501
61,Austria,2019,Billie Eilish,17195886,47.5162,14.5501
62,Austria,2019,MERO,13377857,47.5162,14.5501
63,Austria,2019,"Capital Bra, Samra",13143814,47.5162,14.5501
64,Austria,2019,Apache 207,12817449,47.5162,14.5501
65,Austria,2020,Apache 207,23047929,47.5162,14.5501
66,Austria,2020,Bonez MC,13706601,47.5162,14.5501
67,Austria,2020,Juice WRLD,11166673,47.5162,14.5501
68,Austria,2020,Pop Smoke,9966437,47.5162,14.5501
69,Austria,2020,The Weeknd,9591835,47.5162,14.5501
70,Austria,2021,Olivia Rodrigo,17638631,47.5162,14.5501
71,Austria,2021,Måneskin,13752652,47.5162,14.5501
72,Austria,2021,Lil Nas X,13604889,47.5162,14.5501
73,Austria,2021,Ed Sheeran,12035031,47.5162,14.5501
74,Austria,2021,The Kid LAROI,11483960,47.5162,14.5501
75,Belgium,2017,Ed Sheeran,31398441,50.5039,4.4699
76,Belgium,2017,Clean Bandit,9080988,50.5039,4.4699
77,Belgium,2017,Damso,9079995,50.5039,4.4699
78,Belgium,2017,Imagine Dragons,8364539,50.5039,4.4699
79,Belgium,2017,Boef,6654972,50.5039,4.4699
80,Belgium,2018,XXXTENTACION,21578605,50.5039,4.4699
81,Belgium,2018,Drake,19284669,50.5039,4.4699
82,Belgium,2018,Ed Sheeran,14160587,50.5039,4.4699
83,Belgium,2018,Post Malone,14009960,50.5039,4.4699
84,Belgium,2018,Damso,11044188,50.5039,4.4699
85,Belgium,2019,Billie Eilish,35225886,50.5039,4.4699
86,Belgium,2019,Ed Sheeran,22629399,50.5039,4.4699
87,Belgium,2019,Post Malone,20829465,50.5039,4.4699
88,Belgium,2019,Ariana Grande,19464879,50.5039,4.4699
89,Belgium,2019,Angèle,15944719,50.5039,4.4699
90,Belgium,2020,Billie Eilish,26037696,50.5039,4.4699
91,Belgium,2020,The Weeknd,25151638,50.5039,4.4699
92,Belgium,2020,Dua Lipa,22354952,50.5039,4.4699
93,Belgium,2020,Pop Smoke,20261690,50.5039,4.4699
94,Belgium,2020,Lewis Capaldi,19679349,50.5039,4.4699
95,Belgium,2021,Olivia Rodrigo,32587224,50.5039,4.4699
96,Belgium,2021,Lil Nas X,23845486,50.5039,4.4699
97,Belgium,2021,Måneskin,23399560,50.5039,4.4699
98,Belgium,2021,The Weeknd,20681267,50.5039,4.4699
99,Belgium,2021,Ed Sheeran,18801546,50.5039,4.4699
100,Bolivia,2017,Piso 21,3154441,-16.2902,-63.5887
101,Bolivia,2017,Ed Sheeran,3008497,-16.2902,-63.5887
102,Bolivia,2017,Maluma,2769386,-16.2902,-63.5887
103,Bolivia,2017,Danny Ocean,2678952,-16.2902,-63.5887
104,Bolivia,2017,Ozuna,2522911,-16.2902,-63.5887
105,Bolivia,2018,Piso 21,5119909,-16.2902,-63.5887
106,Bolivia,2018,Maluma,4755297,-16.2902,-63.5887
107,Bolivia,2018,Bad Bunny,3872262,-16.2902,-63.5887
108,Bolivia,2018,Danny Ocean,3384418,-16.2902,-63.5887
109,Bolivia,2018,Manuel Turizo,3231669,-16.2902,-63.5887
110,Bolivia,2019,Paulo Londra,8434747,-16.2902,-63.5887
111,Bolivia,2019,Maluma,6747773,-16.2902,-63.5887
112,Bolivia,2019,Bad Bunny,4651051,-16.2902,-63.5887
113,Bolivia,2019,"J Balvin, Bad Bunny",4501247,-16.2902,-63.5887
114,Bolivia,2019,"Mau y Ricky, Manuel Turizo, Camilo",3442067,-16.2902,-63.5887
115,Bolivia,2020,Bad Bunny,13816064,-16.2902,-63.5887
116,Bolivia,2020,J Balvin,11213892,-16.2902,-63.5887
117,Bolivia,2020,Maluma,9519808,-16.2902,-63.5887
118,Bolivia,2020,Camilo,9212796,-16.2902,-63.5887
119,Bolivia,2020,Christian Nodal,7602448,-16.2902,-63.5887
120,Bolivia,2021,Bad Bunny,14467232,-16.2902,-63.5887
121,Bolivia,2021,Rauw Alejandro,10398891,-16.2902,-63.5887
122,Bolivia,2021,Maluma,9540745,-16.2902,-63.5887
123,Bolivia,2021,KAROL G,8325699,-16.2902,-63.5887
124,Bolivia,2021,Christian Nodal,8015245,-16.2902,-63.5887
125,Brazil,2017,Matheus & Kauan,249835775,-14.235,-51.9253
126,Brazil,2017,Jorge & Mateus,229768346,-14.235,-51.9253
127,Brazil,2017,Henrique & Juliano,229395485,-14.235,-51.9253
128,Brazil,2017,Marília Mendonça,199386847,-14.235,-51.9253
129,Brazil,2017,Ed Sheeran,179064132,-14.235,-51.9253
130,Brazil,2018,Zé Neto & Cristiano,512854206,-14.235,-51.9253
131,Brazil,2018,Jorge & Mateus,336851829,-14.235,-51.9253
132,Brazil,2018,Marília Mendonça,241507880,-14.235,-51.9253
133,Brazil,2018,Henrique & Juliano,210183652,-14.235,-51.9253
134,Brazil,2018,Gusttavo Lima,196707818,-14.235,-51.9253
135,Brazil,2019,Marília Mendonça,699548604,-14.235,-51.9253
136,Brazil,2019,Zé Neto & Cristiano,461314291,-14.235,-51.9253
137,Brazil,2019,Gusttavo Lima,342071508,-14.235,-51.9253
138,Brazil,2019,Diego & Victor Hugo,238137699,-14.235,-51.9253
139,Brazil,2019,Jorge & Mateus,194625491,-14.235,-51.9253
140,Brazil,2020,Henrique & Juliano,512472077,-14.235,-51.9253
141,Brazil,2020,Gusttavo Lima,464254681,-14.235,-51.9253
142,Brazil,2020,Marília Mendonça,431550804,-14.235,-51.9253
143,Brazil,2020,Zé Neto & Cristiano,356574857,-14.235,-51.9253
144,Brazil,2020,Jorge & Mateus,337528612,-14.235,-51.9253
145,Brazil,2021,Gusttavo Lima,470306099,-14.235,-51.9253
146,Brazil,2021,João Gomes,448863177,-14.235,-51.9253
147,Brazil,2021,Henrique & Juliano,417014812,-14.235,-51.9253
148,Brazil,2021,Jorge & Mateus,406920180,-14.235,-51.9253
149,Brazil,2021,Zé Neto & Cristiano,377615651,-14.235,-51.9253
150,Bulgaria,2017,Ed Sheeran,954164,42.7339,25.4858
151,Bulgaria,2017,Kendrick Lamar,402989,42.7339,25.4858
152,Bulgaria,2017,Luis Fonsi,241191,42.7339,25.4858
153,Bulgaria,2017,"The Weeknd, Daft Punk",235654,42.7339,25.4858
154,Bulgaria,2017,DJ Khaled,228401,42.7339,25.4858
155,Bulgaria,2018,V:RGO,103940,42.7339,25.4858
156,Bulgaria,2018,Drake,90924,42.7339,25.4858
157,Bulgaria,2018,Travis Scott,90856,42.7339,25.4858
158,Bulgaria,2018,Ariana Grande,86190,42.7339,25.4858
159,Bulgaria,2018,XXXTENTACION,64087,42.7339,25.4858
160,Bulgaria,2019,Ariana Grande,1374724,42.7339,25.4858
161,Bulgaria,2019,Billie Eilish,1173778,42.7339,25.4858
162,Bulgaria,2019,Ed Sheeran,1080241,42.7339,25.4858
163,Bulgaria,2019,Itzo Hazarta,1071337,42.7339,25.4858
164,Bulgaria,2019,Post Malone,1014225,42.7339,25.4858
165,Bulgaria,2020,Travis Scott,2416711,42.7339,25.4858
166,Bulgaria,2020,Pop Smoke,2153877,42.7339,25.4858
167,Bulgaria,2020,The Weeknd,2093201,42.7339,25.4858
168,Bulgaria,2020,Dua Lipa,1573620,42.7339,25.4858
169,Bulgaria,2020,Billie Eilish,1525539,42.7339,25.4858
170,Bulgaria,2021,Måneskin,3615909,42.7339,25.4858
171,Bulgaria,2021,Lil Nas X,3122605,42.7339,25.4858
172,Bulgaria,2021,Pop Smoke,2998857,42.7339,25.4858
173,Bulgaria,2021,Doja Cat,2943327,42.7339,25.4858
174,Bulgaria,2021,Olivia Rodrigo,2195022,42.7339,25.4858
175,Canada,2017,Ed Sheeran,139984190,56.1304,-106.3468
176,Canada,2017,Drake,112538472,56.1304,-106.3468
177,Canada,2017,Kendrick Lamar,97584947,56.1304,-106.3468
178,Canada,2017,Migos,62058718,56.1304,-106.3468
179,Canada,2017,Future,52456787,56.1304,-106.3468
180,Canada,2018,Drake,237047592,56.1304,-106.3468
181,Canada,2018,Post Malone,211533361,56.1304,-106.3468
182,Canada,2018,XXXTENTACION,148025599,56.1304,-106.3468
183,Canada,2018,Travis Scott,101253238,56.1304,-106.3468
184,Canada,2018,Khalid,73342635,56.1304,-106.3468
185,Canada,2019,Post Malone,211087764,56.1304,-106.3468
